TEAM_ID,SEASON,W_PCT,PTS,REB,AST,TOV,FG_PCT,FG3_PCT,FT_PCT,STL,BLK,OREB,DREB,PF,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,AST_PCT,REB_PCT,TM_TOV_PCT
1610612751,2018-19,0.512,112.2,46.6,23.8,15.1,0.449,0.353,0.745,6.6,4.1,11.0,35.6,21.5,108.9,109.0,-0.1,101.52,0.556,0.592,0.501,0.146
1610612766,2018-19,0.476,110.7,43.8,23.2,12.2,0.448,0.351,0.797,7.2,4.9,9.9,33.9,18.9,110.7,112.0,-1.3,99.18,0.554,0.578,0.495,0.122
1610612741,2018-19,0.268,104.9,42.9,21.9,14.1,0.453,0.351,0.783,7.4,4.3,8.8,34.1,20.3,104.5,112.8,-8.3,99.3,0.541,0.55,0.483,0.141
1610612739,2018-19,0.232,104.5,42.7,20.7,13.5,0.444,0.355,0.792,6.5,2.4,10.7,31.9,20.0,106.8,116.8,-10.0,97.37,0.54,0.532,0.496,0.138
1610612742,2018-19,0.402,108.9,45.3,23.4,14.2,0.447,0.34,0.742,6.5,4.3,10.1,35.2,20.1,108.7,110.1,-1.5,99.6,0.555,0.603,0.503,0.142
1610612743,2018-19,0.659,110.7,46.4,27.4,13.4,0.466,0.351,0.755,7.7,4.4,11.9,34.5,20.0,112.1,108.1,4.0,98.49,0.558,0.653,0.524,0.136
1610612765,2018-19,0.5,107.0,45.0,22.5,13.8,0.44,0.348,0.747,6.9,4.0,11.4,33.6,22.1,108.4,108.7,-0.3,97.88,0.544,0.579,0.509,0.14
1610612744,2018-19,0.695,117.7,46.2,29.4,14.3,0.491,0.385,0.801,7.6,6.4,9.7,36.5,21.4,115.0,108.6,6.5,101.74,0.596,0.668,0.505,0.139
1610612745,2018-19,0.646,113.9,42.1,21.2,13.3,0.449,0.356,0.791,8.5,4.9,10.2,31.9,22.0,114.9,110.1,4.8,98.39,0.581,0.541,0.481,0.135
1610612754,2018-19,0.585,108.0,43.0,26.0,13.7,0.475,0.374,0.752,8.7,4.9,9.3,33.7,19.4,109.4,106.0,3.4,98.64,0.561,0.628,0.499,0.139
